2021-01-30;Budapest;0
2021-01-30;Amsterdam;10
2021-01-30;Regensburg;2
2021-01-31;Budapest;1
2021-01-31;Amsterdam;9
2021-01-31;Regensburg;4
2021-02-01;Budapest;2
2021-02-01;Amsterdam;7
2021-02-01;Regensburg;6
2021-02-02;Budapest;0
2021-02-02;Amsterdam;9
2021-02-02;Regensburg;3
2021-02-03;Budapest;0
2021-02-03;Amsterdam;12
2021-02-03;Regensburg;0
2021-02-04;Budapest;1
2021-02-04;Amsterdam;7
2021-02-04;Regensburg;2
2021-02-05;Budapest;1
2021-02-05;Amsterdam;8
2021-02-05;Regensburg;6
2021-02-06;Budapest;0
2021-02-06;Amsterdam;10
2021-02-06;Regensburg;1
2021-02-07;Budapest;1
2021-02-07;Amsterdam;9
2021-02-07;Regensburg;2
2021-02-08;Budapest;0
2021-02-08;Amsterdam;15
2021-02-08;Regensburg;2
